Loop
height time
7 0.00015338899993366795
2 4.875000286119757e-06
0 9.200002750731073e-07
3 6.268000106501859e-06
12 0.0043649970002661576
15 0.03437444699966363
2 1.3065000075584976e-05
10 0.0008351970000148867
6 4.7154999720078195e-05
3 5.997999778628582e-06
14 0.01720117400009258
2 9.420999958820175e-06
5 2.193199998146156e-05
10 0.000773978999859537
6 4.359299964562524e-05
5 2.0801000118808588e-05
15 0.03372005099981834
10 0.0008331639996868034
13 0.007478852000076586
6 4.8939999942376744e-05
12 0.0030794799999966926
4 1.183399990623002e-05
9 0.0003720089998751064
9 0.0003713830001288443
0 1.2180003068351652e-06
1 1.9179997252649628e-06
0 5.520000740943942e-07
15 0.03716650500018659
3 1.560199962113984e-05
9 0.0003626449997682357
0 1.6099997992569115e-06
15 0.0524592090000624
0 1.032900036079809e-05
3 1.4605000160372583e-05
6 8.142399974531145e-05
5 3.883099998347461e-05
6 7.635100018887897e-05
12 0.006022628999744484
0 5.356999736250145e-06
3 1.2183999842818594e-05
10 0.0013864880002074642
14 0.020219699000335822
1 8.206000075006159e-06
1 1.6799999684735667e-06
13 0.006446569000218005
11 0.0018841490000340855
0 3.4139998206228483e-06
1 3.7130002965568565e-06
3 1.0814999768626876e-05
8 0.00033926200012501795
3 1.130700002249796e-05
11 0.0030847509997329325
6 5.762699993283604e-05
0 1.0109997674589977e-06
3 9.527000202069758e-06
4 1.4886999906593701e-05
14 0.01627054299979136
12 0.0029747230000793934
9 0.00035409000020081294
12 0.0028954220001651265
11 0.002254808000088815
1 4.857000021729618e-06
13 0.009687179000138713
8 0.0002784329999485635
11 0.0018975319999299245
10 0.0007582430002912588
14 0.014881031999721017
1 1.4069999906496378e-05
0 1.3449998732539825e-06
7 0.00014857899986964185
0 1.3630001376441214e-06
2 4.562999947665958e-06
6 7.229599987113033e-05
13 0.007970505000230332
0 4.01599982069456e-06
3 6.533000032504788e-06
5 1.9658999917737674e-05
10 0.0007135119999475137
6 4.08660002904071e-05
10 0.0007030940000731789
12 0.0030179599998518825
3 7.474000085494481e-06
2 2.68400026470772e-06
11 0.0019172780002918444
12 0.004855626999869855
7 0.00023509699985879706
4 2.863100007743924e-05
8 0.0004915380000056757
7 0.0002197529997829406
6 0.00010944499990728218
4 2.6872000034927623e-05
8 0.00045073999990563607
1 4.127000011067139e-06
11 0.003921927000192227
15 0.043885776000024634
13 0.005988113000057638
3 7.434000053763157e-06
7 8.113800004139193e-05
12 0.002860644000065804
5 2.0792000213987194e-05
Recursive
height time
7 0.00014569699987987406
2 3.997000021627173e-06
0 3.4899994716397487e-07
3 7.663999895157758e-06
12 0.006965086999571213
15 0.09443793399987044
2 1.0933000339719001e-05
10 0.0016542889998163446
6 8.298600005218759e-05
3 9.42999986364157e-06
14 0.04817728900025031
2 8.26699988465407e-06
5 4.476100002648309e-05
10 0.0017263959998672362
6 8.587399997850298e-05
5 4.0736000300967135e-05
15 0.09764181699983965
10 0.0016479500000059488
13 0.022521270000197546
6 8.098500029518618e-05
12 0.006676452999727189
4 1.744900009725825e-05
9 0.0007568790001641901
9 0.0006883179999022104
0 7.179996828199364e-07
1 1.6579997463850304e-06
0 3.7199970392975956e-07
15 0.09495019600035448
3 1.6000999949028483e-05
9 0.0007662940001864627
0 9.059999683813658e-07
15 0.12451622200023849
0 3.7669997254852206e-06
3 1.7112000023189466e-05
6 0.00012233999996169587
5 5.7034999827010324e-05
6 0.00025240200011467095
12 0.009705953000320733
0 1.3260000741865952e-06
3 1.1550999715836952e-05
10 0.0017538649999551126
14 0.03595773000006375
1 4.4270000216783956e-06
1 1.5900000107649248e-06
13 0.015296586000204115
11 0.004952612000124645
0 2.0940001377312e-06
1 2.3490001694881357e-06
3 8.027000149013475e-06
8 0.0006151469997348613
3 1.79120002030686e-05
11 0.006531517999974312
6 0.0001577210000505147
0 1.021000116452342e-06
3 1.725999982227222e-05
4 3.6175999866827624e-05
14 0.04780689400013216
12 0.007357177999892883
9 0.0007706229998802883
12 0.0061992569999347324
11 0.002804318000016792
1 1.957999756996287e-06
13 0.013055683000402496
8 0.0003230880001865444
11 0.004098461000012321
10 0.0012994110002182424
14 0.03251499199996033
1 4.523999905359233e-06
0 3.700001798279118e-07
7 0.00017133200026364648
0 4.950002221448813e-07
2 3.3870001061586663e-06
6 6.668400010312325e-05
13 0.015693911000198568
0 1.791999693523394e-06
3 9.601999863662058e-06
5 3.279100019426551e-05
10 0.00125046699986342
6 6.501899997601868e-05
10 0.001446610000130022
12 0.005954226999620005
3 7.761000233585946e-06
2 3.283999831182882e-06
11 0.0024662860000717046
12 0.005261662000066281
7 0.00013025599992033676
4 1.4899000234436244e-05
8 0.0002889689999392431
7 0.00012937500014231773
6 6.209100001797196e-05
4 1.4544999885401921e-05
8 0.00029097300011926563
1 1.463999979023356e-06
11 0.0023846439999033464
15 0.11571970600016357
13 0.017103621999922325
3 1.2225999853399117e-05
7 0.00018683500002225628
12 0.008166445999904681
5 4.206199992040638e-05
